Departamento,Year,Poblacion,Electores,PIM,Devengado,PIM_GN,Devengado_GN,PIM_GR,Devengado_GR,PIM_GL,Devengado_GL,Educacion,Salud,Saneamiento,Ambiente,Transportes,Turismo,Otros,PIM_CC,Devengado_CC,PIM_CC_GN,Devengado_CC_GN,PIM_CC_GR,Devengado_CC_GR,PIM_CC_GL,Devengado_CC_GL,Asignacion_Presupuestal_FONDES,Devengado_FONDES,Marco_Presupuestal_GN_Fondes,Devengado_GN_Fondes,Marco_Presupuestal_GR_Fondes,Devengado_GR_Fondes,Marco_Presupuestal_GL_Fondes,Devengado GL Fondes,PIM_CC_GN_ENTRE_PIM,PIM_CC_GR_ENTRE_PIM,PIM_CC_GL_ENTRE_PIM,AP_GN_Fondes_Entre_PIM,AP_GR_Fondes_Entre_PIM,AP_GL_Fondes_Entre_PIM
PASCO,2016,306322,162935,739772091,530741598,161973204,119847413,291667641,236016805,286131246,174877380,44431546,83625051,111050687,11613974,174508133,1301251,104210956,12391679,10064333,0,0,5410617,5247428,6981062,4816905,0,0,0,0,0,0,0,0,0,0.01855,0.0244,0,0,0
PIURA,2016,1858617,1162618,1990225953,1312875799,649922516,478078209,372211536,209902120,968091901,624895469,207160748,17671555,147170515,13007046,535816170,349455,391700310,21410066,17119654,0,0,0,0,21410066,17119654,0,0,0,0,0,0,0,0,0,0,0.02212,0,0,0
PUNO,2016,1429098,754533,2195036381,1593571357,915196449,775786526,232966362,155123197,1046873570,662661634,198383015,22257878,260039412,14753804,707298523,1888771,388949954,15190224,8622939,0,0,2300000,2241699,12890224,6381240,0,0,0,0,0,0,0,0,0,0.00987,0.01231,0,0,0
SAN MARTIN,2016,851883,493843,1206444334,912579709,140270292,97629471,513464933,431232494,552709109,383717743,139895994,170913335,134486185,17651264,284612156,926121,164094654,13288323,7839682,1500000,1499069,2787655,1724684,9000668,4615929,0,0,0,0,0,0,0,0,0.01069,0.00543,0.01628,0,0,0
TACNA,2016,346013,230366,791826089,596129410,364113544,328096603,139881089,47753164,287831456,220279644,53314120,5371486,16400017,11013569,387784778,1046793,121198647,4315082,4219473,0,0,18000,0,4297082,4219473,0,0,0,0,0,0,0,0,0,0.00013,0.01493,0,0,0
TUMBES,2016,240590,147710,363078034,194551120,88314861,41811938,98414251,63604804,176348922,89134378,30130951,5313248,18353517,6326660,67270326,1911011,65245407,2150409,605603,0,0,295462,293842,1854947,311761,0,0,0,0,0,0,0,0,0,0.003,0.01052,0,0,0
UCAYALI,2016,501269,304186,1094562274,787236440,450671049,374553383,338007093,226134497,305884132,186548560,82929945,132676570,29651713,8162191,419720261,24211000,89884760,1112295,654355,0,0,0,0,1112295,654355,0,0,0,0,0,0,0,0,0,0,0.00364,0,0,0
NACIONAL,2016,31488625,19030611,39839105361,26947421503,14690920540,10346658097,7616626073,5330758401,17531558748,11270005002,3869735248,1400751404,3061931077,427092271,10139048253,158745324,7890117926,586640818,406156522,10689804,8446228,101051146,84264681,474899868,313445612,0,0,0,0,0,0,0,0,0.00073,0.01327,0.02709,0,0,0
AMAZONAS,2017,424952,236607,1129962638,819665659,373027202,336965104,1129962638,819665659,428750697,245528287,141634838,15406619,165854412,9028754,298520443,19770668,169449925,32105204,31115710,3522973,3315517,13847183,13482477,14735048,14317716,0,0,0,0,0,0,0,0,0.00944,0.01225,0.03437,0,0,0
ANCASH,2017,1160490,694742,1689048379,941581977,276341009,183065193,1689048379,941581977,1158732243,652321145,173556599,21238328,223048677,7975070,199968470,1107219,314687614,48745428,35666420,6573835,5886399,3113323,1490299,39058270,28289722,14464207,5551466,51000,0,0,0,14413207,5551466,0.02379,0.00184,0.03371,0.00018,0,0.01244
APURIMAC,2017,462791,248674,1652442878,1002907754,377566386,283702810,1652442878,1002907754,1034646155,556826426,181187747,48506076,231009129,30276383,232766227,868500,278293692,78796515,51894829,0,0,35409746,23803270,43386769,28091559,0,0,0,0,0,0,0,0,0,0.02143,0.04193,0,0,0
AREQUIPA,2017,1315528,911876,2513866208,1609710487,367769253,311931053,2513866208,1609710487,1137137674,630330859,157884639,93200985,121329013,35598705,673734705,14454632,513507808,48985072,32485041,0,0,0,0,48985072,32485041,974285,123449,846437,0,0,0,127848,123449,0,0,0.04308,0.0023,0,0.00011
AYACUCHO,2017,703629,377531,1823820261,1245628557,412140742,363136125,1823820261,1245628557,1015043106,636918302,214811972,105946372,252934491,26068960,301064935,13657707,331144120,69946153,53121826,0,0,12984460,12788951,56961693,40332875,1674863,828262,181700,0,0,0,1493163,828262,0,0.00712,0.05612,0.00044,0,0.00147
CAJAMARCA,2017,1537172,831125,2206453415,1407510067,395666035,314801382,2206453415,1407510067,1411722048,953634839,262081610,46930617,469021379,6020763,404240774,14631721,204583203,70754800,59673118,540238,237000,2350507,1559681,67864055,57876436,1189917,170339,308103,985,0,0,881814,169353,0.00137,0.00107,0.04807,0.00078,0,0.00062
CALLAO,2017,1038706,693346,1150978968,777133823,845283682,635945470,1150978968,777133823,123928896,79528540,14935929,7767965,4718890,12040963,106084474,0,631585602,0,0,0,0,0,0,0,0,815490,0,815490,0,0,0,0,0,0,0,0,0.00096,0,0
CUSCO,2017,1331758,792537,2837634046,2075370405,534035536,481645875,2837634046,2075370405,1822191266,1268253092,280381638,69703041,261808759,91509793,631929165,16792069,723245940,67394254,45783675,0,0,2936628,2415242,64457626,43368433,484006,0,484006,0,0,0,0,0,0,0.00103,0.03537,0.00091,0,0
HUANCAVELICA,2017,502084,203693,1241404124,879605561,272773068,242925189,1241404124,879605561,700061388,476858043,166354094,28457542,207140878,12315443,210093289,4509157,250735158,30926201,22312544,0,0,4476868,4279835,26449333,18032710,51708847,3458522,51000,0,46270980,0,5386867,3458522,0,0.00361,0.03778,0.00019,0.03727,0.00769
HUANUCO,2017,872523,437020,1579488703,1003384043,336236135,272303154,1579488703,1003384043,936234654,569707154,229575054,52417707,230101969,16866726,345955933,40797,128425857,28139324,19515948,0,0,2765227,2743122,25374097,16772826,76300,0,76300,0,0,0,0,0,0,0.00175,0.0271,0.00023,0,0
ICA,2017,802610,545934,650610431,406855137,111961534,60702768,650610431,406855137,416424054,257983692,72523831,4414779,87983753,6977749,95499420,2022147,137433458,14585953,7258338,0,0,0,0,14585953,7258338,3084639,1299653,725654,0,0,0,2358985,1299653,0,0,0.03503,0.00648,0,0.00566
JUNIN,2017,1370274,799765,1701958357,1093955839,306115753,199772560,1701958357,1093955839,879426098,494128495,163583532,166468172,162587979,12982967,420117670,2519660,165695859,96601362,38451657,0,0,0,0,96601362,38451657,3334281,317153,30600,0,0,0,3303681,317153,0,0,0.10985,0.0001,0,0.00376
LA LIBERTAD,2017,1905301,1181594,2006075143,1126875742,250162151,169070792,2006075143,1126875742,1212294818,797525467,227278129,37817723,303629582,5894767,249325395,12855539,290074607,43907281,23279422,0,0,0,0,43907281,23279422,22849694,3542852,8570379,0,5340480,0,8938835,3542852,0,0,0.03622,0.03426,0.00266,0.00737
LAMBAYEQUE,2017,1280788,775360,1377519248,949351697,506654179,431432369,1377519248,949351697,515382213,254881603,146748321,3263497,226273636,5844624,132732059,1692897,432796663,27297714,10372997,0,0,0,0,27297714,10372997,16304904,564111,10876466,0,0,0,5428438,564111,0,0,0.05297,0.02147,0,0.01053
